,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
28,0.3030986785888672,0.0248500010702884,0.0018547058105468,0.0008489521961843,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.9506666666666668,0.9263331138907176,1.0,0.9487179487179488,0.9493589743589744,0.9550153407268616,0.0242357269289941,1,0.925135259289506,0.9559302517129628,0.9497337407245744,0.925763701707098,0.962402648853044,0.943793120457437,0.0155054261161436,ai,300,TimeSeriesKMedoids,c42fbe82af,,
30,0.2249911308288574,0.0175735068400202,0.0020018100738525,4.58706441261911e-06,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.9506666666666668,0.9263331138907176,1.0,0.9487179487179488,0.9493589743589744,0.9550153407268616,0.0242357269289941,1,0.925135259289506,0.9559302517129628,0.9497337407245744,0.925763701707098,0.962402648853044,0.943793120457437,0.0155054261161436,ai,300,TimeSeriesKMedoids,c42fbe82af,,
25,85.64209032058716,148.15918749933107,0.0520039081573486,0.0057298671385366,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.9506666666666668,0.9751859364435428,0.9751481237656352,0.9243440156274748,0.9243440156274748,0.9499377516261588,0.0227316680508079,1,0.9560647236469604,0.9436632412466704,0.9438418888361352,0.950308363370093,0.9441608552515132,0.9476078144702744,0.0049078642776073,ai,300,TimeSeriesKMeans,cb762cccb4,,
27,106.74018688201905,193.4270608760724,0.0513990879058837,0.0047946111094637,mean,forgy,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.9506666666666668,0.9751859364435428,0.9751481237656352,0.9243440156274748,0.9243440156274748,0.9499377516261588,0.0227316680508079,1,0.9560647236469604,0.9436632412466704,0.9438418888361352,0.950308363370093,0.950308363370093,0.9488373160939904,0.004653788223114,ai,300,TimeSeriesKMeans,cb762cccb4,,
24,0.109199857711792,0.0443090321279666,0.0019979000091552,4.70694071931956e-06,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.95,1.0,0.95,0.9493589743589744,0.8987179487179486,0.9496153846153844,0.0320297363479532,3,0.9560647236469604,0.9498579178506846,0.9624154005188118,0.9563466611637544,0.9687219442218036,0.958681329480403,0.0064016736238101,ai,300,TimeSeriesKMeans,cb762cccb4,,
26,0.0402001857757568,0.0054579731781969,0.0023963451385498,0.0004931959021922,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.95,1.0,0.95,0.9493589743589744,0.8987179487179486,0.9496153846153844,0.0320297363479532,3,0.9560647236469604,0.9498579178506846,0.9624154005188118,0.9563466611637544,0.962402648853044,0.9574174704066511,0.00468944987446,ai,300,TimeSeriesKMeans,cb762cccb4,,
9,213.90519614219664,1.5988956469235298,1.0360004425048828,0.2338028314937395,,,,,{'feature_selection': 'none'},1.0,0.8709090909090909,1.0,0.8954635108481261,0.9477317554240632,0.942820871436256,0.0528716295353592,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,BOSSEnsemble,e52c627f3a,none,
13,10.938004207611083,1.362327492545383,0.0497976303100585,0.0054206947316334,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.8759296822177148,1.0,0.9260154738878142,0.9243440156274748,0.974135523155131,0.9400849389776272,0.0431529380364837,1,0.9498579178506846,0.9307475384060844,0.9433558678812872,0.9314018961144712,0.9314018961144712,0.9373530232733998,0.007834166082376,difference,300,TimeSeriesKMeans,cb762cccb4,,
15,8.177864027023315,1.3508303554082697,0.0420037746429443,0.0047713575874808,mean,forgy,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8759296822177148,1.0,0.9260154738878142,0.9243440156274748,0.974135523155131,0.9400849389776272,0.0431529380364837,1,0.9498579178506846,0.9307475384060844,0.9433558678812872,0.9314018961144712,0.9314018961144712,0.9373530232733998,0.007834166082376,difference,300,TimeSeriesKMeans,cb762cccb4,,
12,0.1279977798461914,0.0483463532681707,0.0018005847930908,0.0004009393141278,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.9,1.0,0.9505208333333334,0.8987179487179486,0.9487179487179488,0.939591346153846,0.0376565089515759,3,0.9497138299970308,0.9245707449955466,0.9369507237199404,0.9498701984707252,0.9375439718580107,0.9397298938082508,0.0094319308134384,difference,300,TimeSeriesKMeans,cb762cccb4,,
14,0.0451903343200683,0.0086550327852062,0.0016020774841308,0.000493819951127,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.9,1.0,0.9505208333333334,0.8987179487179486,0.9487179487179488,0.939591346153846,0.0376565089515759,3,0.9497138299970308,0.9245707449955466,0.9369507237199404,0.9498701984707252,0.9375439718580107,0.9397298938082508,0.0094319308134384,difference,300,TimeSeriesKMeans,cb762cccb4,,
23,51.02821192741394,0.3786702802132255,12.540382623672484,0.0950856220783833,,,,,{'shape_descriptor_function': 'paa'},0.8738644304682041,0.9751859364435428,0.95,0.8974358974358975,1.0,0.9392972528695288,0.047161843136469,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,ShapeDTW,e8df20c70e,,paa
33,79.46387596130371,1.5252317664241004,0.9610068798065186,0.2030135533124069,,,,,{'feature_selection': 'none'},1.0,0.8668954996186118,0.9505208333333334,0.9236182536675148,0.9477317554240632,0.9377532684087048,0.0432616655959128,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,BOSSEnsemble,e52c627f3a,none,
17,16.106998777389528,0.5210339159294025,0.0551957607269287,0.0007474558264732,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.9751859364435428,0.8668954996186118,0.9505208333333334,0.9243440156274748,0.9493589743589744,0.9332610518763876,0.0368744875818232,1,0.9373223973133558,0.993682659898088,0.931190493289136,0.9500351774864086,0.9438742786391128,0.9512210013252204,0.0221484329324867,difference,300,TimeSeriesKMedoids,c42fbe82af,,
19,15.620403003692626,0.7674672431136796,0.0517976760864257,0.0035459356581799,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.9751859364435428,0.8668954996186118,0.9505208333333334,0.9243440156274748,0.9493589743589744,0.9332610518763876,0.0368744875818232,1,0.9373223973133558,0.993682659898088,0.931190493289136,0.9500351774864086,0.9438742786391128,0.9512210013252204,0.0221484329324867,difference,300,TimeSeriesKMedoids,c42fbe82af,,
35,54.23419380187988,0.6299365486895531,13.965004587173462,0.0570659657806678,,,,,{'shape_descriptor_function': 'paa'},0.9225454545454548,0.9747728860936408,0.8983516483516484,0.922406569465393,0.9477317554240632,0.93316166277604,0.0260149746081038,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,ShapeDTW,e8df20c70e,,paa
32,104.80314393043518,0.6763363284063361,1.1080050945281985,0.0951556077264082,,,,,{'feature_selection': 'chi2'},0.95,0.8759296822177148,0.9505208333333334,0.9236182536675148,0.9477317554240632,0.9295601049285253,0.0286317242375417,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,BOSSEnsemble,e52c627f3a,chi2,
21,74.52199215888977,0.8031371585435885,0.9982142448425292,0.1064393269390827,,,,,{'feature_selection': 'none'},0.9490028490028488,0.8709090909090909,1.0,0.8954635108481261,0.9236182536675148,0.927798740885516,0.0446365587117989,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,BOSSEnsemble,e52c627f3a,none,
20,102.33079690933228,0.3093730657976914,1.0932055473327638,0.0973353108542014,,,,,{'feature_selection': 'chi2'},0.9490028490028488,0.8738644304682041,0.9748140635564572,0.8974358974358975,0.9243440156274748,0.9238922512181766,0.0358510772179711,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,BOSSEnsemble,e52c627f3a,chi2,
34,37.71219916343689,0.2401260542111782,11.159782028198242,0.1416811406656708,,,,,{'shape_descriptor_function': 'raw'},0.9225454545454548,0.9747728860936408,0.844017094017094,0.9477317554240632,0.9206386066763428,0.9219411593513188,0.0436590608481861,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,ShapeDTW,e8df20c70e,,raw
8,340.121984577179,1.4868661847971825,3.290600681304932,0.2797250710979242,,,,,{'feature_selection': 'chi2'},0.9243186582809224,0.8668954996186118,0.9748140635564572,0.9206386066763428,0.9206386066763428,0.9214610869617352,0.0341568795269735,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,BOSSEnsemble,e52c627f3a,chi2,
22,32.38399658203125,0.1647400800120524,10.71099648475647,0.1295042743037616,,,,,{'shape_descriptor_function': 'raw'},0.8759296822177148,0.9263331138907176,0.95,0.8954635108481261,0.9243440156274748,0.9144140645168066,0.0258735294714276,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,ShapeDTW,e8df20c70e,,raw
31,16.50688147544861,0.772148871833363,0.0580037117004394,0.0072125923933136,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.8772218564845293,0.847008547008547,0.9505208333333334,0.9745394178891716,0.8987179487179486,0.909601720686706,0.0468531659269039,3,0.9126578025044236,0.9426850128918668,0.8882078614257161,0.9107617051013276,0.9071228859126016,0.912287053567187,0.0175098611963213,ai,300,TimeSeriesKMedoids,c42fbe82af,,
29,15.684390640258789,0.5066162758265513,0.0554010391235351,0.0031982560613325,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8772218564845293,0.847008547008547,0.9244421906693712,0.9745394178891716,0.8987179487179486,0.9043859921539136,0.0433265332925449,4,0.9126578025044236,0.9426850128918668,0.9120340462680052,0.9107617051013276,0.9071228859126016,0.917052290535645,0.0129591303508527,ai,300,TimeSeriesKMedoids,c42fbe82af,,
16,0.2835969448089599,0.017405267831157,0.0019960403442382,3.699715564970173e-06,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.9255578093306288,0.8759296822177148,0.9505208333333334,0.7719689670909182,0.9243440156274748,0.889664261520014,0.0636166258954673,3,0.8933000431426183,0.9006104008962318,0.8820764493045964,0.8521192234071644,0.8888126861966236,0.8833837605894468,0.0167555565541688,difference,300,TimeSeriesKMedoids,c42fbe82af,,
18,0.2327990531921386,0.0178705008976209,0.0017955780029296,0.0004008164892747,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.9255578093306288,0.8759296822177148,0.9505208333333334,0.7719689670909182,0.9243440156274748,0.889664261520014,0.0636166258954673,3,0.8933000431426183,0.9006104008962318,0.8820764493045964,0.8521192234071644,0.8888126861966236,0.8833837605894468,0.0167555565541688,difference,300,TimeSeriesKMedoids,c42fbe82af,,
11,100.68859214782717,0.6847093307293248,25.951404333114624,0.2200919899486184,,,,,{'shape_descriptor_function': 'paa'},0.8062146892655366,0.8062146892655366,0.8681818181818182,0.8334165834165833,0.732175941810197,0.8092407443879344,0.04475671835215,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,ShapeDTW,e8df20c70e,,paa
2,0.0749847888946533,0.0109985731247897,0.0022036075592041,0.0003999642490712,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.9255578093306288,0.4912280701754385,0.7293650793650794,0.9477317554240632,0.5641025641025641,0.7315970556795547,0.1844839386015608,1,0.9621628109995636,0.637157236541101,0.5459685879911477,0.968208362977092,0.6199082949360418,0.7466810586889893,0.1810298479616354,concat,300,TimeSeriesKMeans,cb762cccb4,,
10,63.22019753456116,0.5912902352060317,21.236200714111327,0.161124931889758,,,,,{'shape_descriptor_function': 'raw'},0.8373040752351096,0.7007168458781361,0.7083333333333333,0.6937321937321936,0.6521276858788914,0.7184428268115328,0.0625343456659554,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,ShapeDTW,e8df20c70e,,raw
0,0.5980048179626465,0.0111356338217725,0.0021997451782226,0.0003985923590488,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.9255578093306288,0.5,0.7045454545454545,0.7467948717948718,0.571282755222357,0.6896361781786624,0.1477280146910402,2,0.9621628109995636,0.5898525153540185,0.5268943991676782,0.5133187107416284,0.6917593463545988,0.6567975565234974,0.1651744008038279,concat,300,TimeSeriesKMeans,cb762cccb4,,
5,95.97649745941162,2.840051217434296,0.4676552772521972,0.0205366460697105,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.7766734279918863,0.6772357723577235,0.7439467312348669,0.5008012820512822,0.6521276858788914,0.6701569799029301,0.0957571911195794,1,0.8377930617939293,0.6462055414668479,0.7791935575039983,0.6762428724397487,0.6125854228818323,0.7104040912172713,0.0846367237432255,concat,300,TimeSeriesKMedoids,c42fbe82af,,
7,93.32449769973756,1.6152270586063031,0.395803165435791,0.0519858090536497,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.7604118993135011,0.5211382113821138,0.4992163009404388,0.6937321937321936,0.6410256410256411,0.6231048492787776,0.0999081280016238,2,0.7995732026087777,0.5054884509429963,0.4980816252580243,0.8137626849403036,0.6388126548503907,0.6511437237200985,0.1365809331380911,concat,300,TimeSeriesKMedoids,c42fbe82af,,
4,0.5346004009246826,0.0127719938292155,0.0023998260498046,0.0004887173472847,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.6,0.65,0.5214672075726842,0.631054131054131,0.6467236467236467,0.6098489970700924,0.0476021932030063,3,0.6158269695578623,0.5463061934169658,0.5147891996733361,0.6074462718191909,0.6037735849056604,0.577628443874603,0.0399040163711848,concat,300,TimeSeriesKMedoids,c42fbe82af,,
6,0.2595948696136474,0.0167642861327452,0.0023994445800781,0.0004871983879463,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.6,0.65,0.5214672075726842,0.631054131054131,0.6467236467236467,0.6098489970700924,0.0476021932030063,3,0.6158269695578623,0.5463061934169658,0.5147891996733361,0.6074462718191909,0.6037735849056604,0.577628443874603,0.0399040163711848,concat,300,TimeSeriesKMedoids,c42fbe82af,,
3,272.0463146686554,257.5832702780582,0.4303994178771972,0.0661854706528819,mean,forgy,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.5121212121212122,0.5844444444444445,0.778046421663443,0.5008012820512822,0.6734006734006734,0.609762806736211,0.1043232164538096,3,0.4985582327354479,0.7015048478319419,0.6529572509972674,0.5014096725222295,0.6177927859717133,0.5944445580117199,0.0815848735228685,concat,300,TimeSeriesKMeans,cb762cccb4,,
1,297.77593235969545,272.0112945309093,0.5098040580749512,0.1238111708000557,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.5121212121212122,0.5844444444444445,0.7526041666666667,0.5008012820512822,0.6690124325592306,0.6037967075685673,0.095690871978805,4,0.4985582327354479,0.6954658010607031,0.650960651886968,0.5014096725222295,0.6426772450634826,0.597814320653766,0.0818763131876635,concat,300,TimeSeriesKMeans,cb762cccb4,,
